@RELATION 'training_allmaps'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
8,10,8,10,675,674,13,North
99999,9,7,9,674,673,12,East
7,7,5,7,673,672,11,East
6,6,4,6,672,671,10,East
4,4,2,4,671,670,9,East
99999,4,2,4,670,669,8,East
99999,99999,2,4,669,668,7,East
99999,0,2,2,668,667,6,South
99999,99999,29,30,0,99,1,East
28,99999,30,30,99,198,1,North
27,29,99999,99999,198,297,1,North
99999,28,26,99999,297,396,1,East
99999,99999,25,27,396,495,1,East
99999,99999,24,26,495,594,1,East
23,99999,99999,25,594,693,1,North
22,24,99999,99999,693,792,1,North
21,23,99999,99999,792,891,1,North
99999,22,20,22,891,990,1,East
99999,99999,19,21,990,1089,1,East
99999,99999,18,20,1089,1188,1,East
17,19,99999,19,1188,1287,1,North
16,18,99999,99999,1287,1386,1,North
15,17,99999,99999,1386,1485,1,North
14,16,16,14,1485,1584,1,West
99999,99999,15,13,1584,1683,1,West
12,99999,14,14,1683,1682,1,North
11,13,99999,99999,1682,1681,2,North
10,12,99999,12,1681,1680,2,North
9,11,99999,99999,1680,1679,2,North
8,10,10,99999,1679,1678,2,North
7,9,99999,99999,1678,1677,2,North
99999,8,99999,6,1677,1676,2,West
99999,99999,7,5,1676,1675,3,West
99999,99999,6,4,1675,1674,3,West
99999,99999,5,3,1674,1673,3,West
4,99999,4,2,1673,1672,3,West
99999,1,3,2,1672,1671,4,South
2,0,99999,1,1671,1870,5,South
2,99999,2,0,1870,2069,5,West
4,99999,3,2,2069,2068,5,West
99999,99999,3,1,2068,2067,4,West
99999,99999,2,0,2067,2266,4,West
99999,99999,6,99999,2266,2265,4,East
99999,99999,5,7,2265,2264,4,East
99999,99999,4,6,2264,2263,4,East
5,99999,3,5,2263,2262,5,East
4,99999,2,4,2262,2261,5,East
99999,99999,1,3,2261,2260,4,East
99999,99999,29,30,0,99,1,East
29,99999,31,31,99,198,1,North
27,29,99999,99999,198,297,1,North
99999,28,26,99999,297,396,1,East
99999,99999,26,28,396,495,1,East
99999,99999,24,26,495,594,1,East
23,99999,99999,25,594,693,1,North
22,24,99999,99999,693,792,1,North
20,22,99999,99999,792,891,1,North
99999,21,19,21,891,990,1,East
99999,99999,19,21,990,1089,1,East
99999,99999,17,19,1089,1188,1,East
17,19,99999,19,1188,1287,1,North
17,19,99999,99999,1287,1386,1,North
16,18,99999,99999,1386,1485,1,North
14,16,16,14,1485,1584,1,West
99999,99999,14,12,1584,1683,1,West
10,99999,12,12,1683,1682,1,North
8,10,99999,99999,1682,1681,2,North
8,10,99999,10,1681,1680,2,North
7,9,99999,99999,1680,1679,2,North
6,8,8,99999,1679,1678,2,North
5,7,99999,99999,1678,1677,2,North
99999,7,99999,5,1677,1676,2,West
99999,99999,7,5,1676,1675,3,West
99999,99999,7,5,1675,1674,3,West
99999,99999,7,5,1674,1673,3,West
6,99999,6,4,1673,1672,3,West
99999,4,4,2,1672,1671,4,West
99999,3,3,1,1671,1670,4,West
1,99999,2,0,1670,1869,3,West
99999,99999,3,5,1869,1868,3,East
3,99999,2,4,1868,1867,3,East
99999,2,2,3,1867,1866,4,South
2,0,2,99999,1866,2065,5,South
4,99999,3,5,2065,2064,5,East
3,99999,1,3,2064,2063,5,East
99999,99999,0,2,2063,2262,4,East
99999,99999,9,7,2262,2261,4,West
99999,99999,7,5,2261,2260,4,West
4,99999,6,4,2260,2259,5,North
3,5,99999,3,2259,2258,5,North
99999,5,5,3,2258,2257,4,West
99999,3,3,1,2257,2256,4,West
99999,18,20,99999,0,-1,99999,South
19,17,99999,99999,-1,-2,99999,South
18,16,18,99999,-2,-3,99999,South
17,15,17,99999,-3,-4,99999,South
16,14,16,99999,-4,-5,99999,South
15,13,99999,99999,-5,-6,99999,South
14,12,14,99999,-6,-7,99999,South
13,11,99999,99999,-7,-8,99999,South
12,10,99999,99999,-8,-9,99999,South
11,9,99999,99999,-9,-10,99999,South
10,8,99999,99999,-10,-11,99999,South
9,7,99999,99999,-11,-12,99999,South
8,8,6,99999,-12,-13,99999,East
99999,7,5,7,-13,-14,99999,East
4,6,4,6,-14,-15,99999,North
3,5,3,99999,-15,-16,99999,North
2,4,2,99999,-16,-17,99999,North
3,3,1,99999,-17,-18,99999,East
2,2,0,2,-18,181,99999,East
13,11,11,13,181,180,99999,South
12,10,10,12,180,179,99999,South
11,9,9,11,179,178,99999,South
10,8,8,10,178,177,99999,South
9,7,99999,9,177,176,99999,South
8,6,99999,8,176,175,99999,South
7,99999,5,7,175,174,99999,East
99999,99999,4,6,174,173,99999,East
99999,99999,3,5,173,172,99999,East
4,99999,2,4,172,171,99999,East
3,99999,1,3,171,170,99999,East
2,99999,0,2,170,369,99999,East
20,99999,99999,22,369,368,99999,North
19,21,99999,21,368,367,99999,North
18,20,99999,20,367,366,99999,North
17,19,99999,19,366,365,99999,North
16,18,99999,18,365,364,99999,North
