@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R21

@attribute pacPosX numeric
@attribute pacPosY numeric
@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute ghostPosX1 numeric
@attribute ghostPosY1 numeric
@attribute ghostPosX2 numeric
@attribute ghostPosY2 numeric
@attribute ghostPosX3 numeric
@attribute ghostPosY3 numeric
@attribute ghostPosX4 numeric
@attribute ghostPosY4 numeric
@attribute LivingGhost1 {0,1}
@attribute LivingGhost2 {0,1}
@attribute LivingGhost3 {0,1}
@attribute LivingGhost4 {0,1}
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
5,8,1,1,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,175,99999,South
5,7,1,1,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,174,99999,East
6,7,1,1,0,1,1,1,1,11,3,17,6,25,7,0,1,1,1,173,99999,East
6,7,1,1,0,1,1,1,1,11,3,17,6,25,7,0,1,1,1,172,99999,South
6,6,1,0,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,171,99999,East
7,6,0,0,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,170,99999,East
8,6,1,1,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,169,99999,East
9,6,1,1,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,168,99999,East
10,6,1,1,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,167,99999,East
11,6,1,1,0,1,1,1,1,11,3,17,6,25,7,0,1,1,1,166,99999,South
11,5,1,1,0,1,1,1,1,11,3,17,6,25,7,0,1,1,1,165,99999,South
11,4,1,1,0,1,1,1,1,11,3,17,6,25,7,0,1,1,1,164,99999,South
11,3,1,0,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,363,99999,North
11,4,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,362,99999,North
11,5,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,361,99999,North
11,6,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,360,99999,North
11,7,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,359,99999,North
11,8,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,358,99999,North
11,9,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,357,99999,North
11,10,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,356,99999,North
11,11,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,355,99999,North
11,12,0,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,354,99999,East
12,12,0,0,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,353,99999,East
13,12,0,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,352,99999,East
14,12,1,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,351,99999,South
14,11,1,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,350,99999,South
14,10,1,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,349,99999,South
14,9,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,348,99999,South
14,8,1,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,347,99999,South
14,7,1,1,0,1,1,1,1,3,1,17,6,25,7,0,0,1,1,346,99999,South
14,6,1,1,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,345,99999,East
15,6,0,0,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,344,99999,East
16,6,0,0,1,1,1,1,1,3,1,17,6,25,7,0,0,1,1,343,99999,East
17,6,0,1,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,542,99999,East
18,6,0,1,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,541,99999,East
19,6,0,1,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,540,99999,East
20,6,0,1,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,539,99999,East
21,6,0,0,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,538,99999,East
22,6,0,0,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,537,99999,East
23,6,1,1,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,536,99999,East
24,6,1,1,1,1,1,1,1,3,1,5,1,25,7,0,0,0,1,535,99999,East
1,18,0,1,1,0,1,1,3,2,3,5,9,6,6,1,1,1,1,0,99999,Stop
1,18,0,1,1,0,1,2,3,1,3,5,10,6,6,1,1,1,1,-1,99999,Stop
1,18,0,1,1,0,1,2,4,1,3,4,10,6,6,1,1,1,1,-2,99999,Stop
1,18,0,1,1,0,1,2,5,1,3,5,10,7,6,1,1,1,1,-3,99999,Stop
1,18,0,1,1,0,1,3,5,1,4,6,10,6,6,1,1,1,1,-4,99999,South
1,17,1,1,0,0,1,3,5,1,4,6,10,6,7,1,1,1,1,-5,99999,South
1,16,1,1,1,0,1,3,5,1,3,6,10,5,7,1,1,1,1,-6,99999,South
1,15,1,1,1,0,1,2,5,1,3,5,10,4,7,1,1,1,1,-7,99999,South
1,14,1,1,1,0,1,2,5,1,4,5,10,3,7,1,1,1,1,-8,99999,South
1,13,1,1,0,0,1,3,5,1,4,5,9,3,8,1,1,1,1,-9,99999,South
1,12,1,1,1,0,1,2,5,2,4,4,9,3,9,1,1,1,1,-10,99999,South
1,11,1,1,0,0,1,2,6,1,4,4,8,3,9,1,1,1,1,-11,99999,South
1,10,1,1,0,0,1,2,5,1,3,4,8,4,9,1,1,1,1,-12,99999,South
